nombre_invocador,region,liga,lps,cola,ranking_mundial,ranking_porcentaje,wins,loses,n_games,winrate_total,liga_label,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,games_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,games_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,games_champ_3,winrate_champ_3,champ_4,regional_rank_4,kills_champ_4,deaths_champ_4,assists_champ_4,games_champ_4,winrate_champ_4,champ_5,regional_rank_5,kills_champ_5,deaths_champ_5,assists_champ_5,games_champ_5,winrate_champ_5,champ_6,regional_rank_6,kills_champ_6,deaths_champ_6,assists_champ_6,games_champ_6,winrate_champ_6,champ_7,regional_rank_7,kills_champ_7,deaths_champ_7,assists_champ_7,games_champ_7,winrate_champ_7,champ_8,regional_rank_8,kills_champ_8,deaths_champ_8,assists_champ_8,games_champ_8,winrate_champ_8,nivel
Hide on bush,KR,GrandMaster,542,Soloqueue,4736,0.049,149,135,284,52.5,1,5.4,4.2,6.4,Mid,246,54.1,Jungler,25.0,44.0,Top,8.0,37.5,Annie,514,5.0,2.8,6.7,28,67.9,Aurelion Sol,245,6.9,3.4,6.6,27,55.6,Yone,850,5.1,4.5,5.4,16,62.5,Sylas,1640,4.4,3.8,5.4,16,50.0,Akali,19442,7.9,3.9,4.3,15,60.0,Ryze,1667,4.9,3.2,6.4,15,53.3,Tristana,5271,5.9,6.7,4.5,13,30.8,Jayce,18688,5.8,6.3,6.6,12,25.0,profesional
Jinno Kingdom,EUW,Challenger,801,Soloqueue,1183,0.012,295,273,568,51.9,2,6.6,4.9,7.5,AD Carry,447,53.7,Jungler,59.0,45.8,Support,37.0,51.4,Varus,299,7.8,4.6,8.0,79,53.2,Zeri,72,6.8,3.4,6.1,64,64.1,Caitlyn,18,6.9,4.8,5.8,51,56.9,Ezreal,97,7.3,5.6,6.6,36,52.8,Sivir,678,6.3,4.4,8.8,32,62.5,Draven,106,7.6,5.4,5.6,29,48.3,Maokai,1391,3.6,4.3,10.4,25,56.0,Xayah,1137,6.9,5.5,5.7,24,37.5,profesional
Satoru Gojo03,EUW,Challenger,984,Soloqueue,535,0.0056,77,47,124,62.1,2,7.2,5.2,7.2,AD Carry,120,61.7,Mid,3.0,100.0,Jungler,1.0,0.0,Zeri,122,7.3,4.6,5.9,23,60.9,Draven,880,8.0,5.9,7.7,21,57.1,Varus,1558,6.8,5.8,8.2,17,58.8,Aphelios,1905,6.0,5.4,7.4,17,52.9,Caitlyn,666,5.8,4.5,7.7,13,61.5,Lucian,4463,9.5,6.4,7.7,11,81.8,Xayah,210,8.4,2.8,6.4,9,88.9,Sivir,0,6.3,9.0,11.3,3,66.7,profesional
pleroma chronou,EUW,GrandMaster,616,Soloqueue,3944,0.041,123,107,230,53.5,1,7.1,5.2,6.5,Mid,189,57.7,AD Carry,14.0,28.6,Jungler,13.0,46.2,Aurelion Sol,839,7.5,6.7,7.9,24,54.2,Tristana,1216,8.8,5.0,4.9,22,63.6,Akali,756,9.8,4.0,5.4,17,64.7,Sylas,831,7.5,4.8,4.9,15,53.3,Ryze,3807,7.7,3.8,5.8,12,75.0,Lee Sin,1546,8.4,5.6,4.5,12,66.7,Syndra,0,6.4,5.2,8.8,9,55.6,Gragas,0,2.3,5.9,8.0,7,42.9,profesional
Kongenvenderhjem,EUW,Challenger,1203,Soloqueue,156,0.0016,114,73,211,59.7,2,7.1,5.9,5.7,Top,189,60.8,Jungler,7.0,42.9,Mid,7.0,57.1,Jayce,36,6.8,6.1,5.6,38,73.7,Gangplank,10569,7.0,5.7,6.3,28,71.4,Fiora,53,5.0,5.6,4.9,14,50.0,Vladimir,305,4.3,5.0,5.4,11,54.5,Gnar,2672,8.1,4.2,5.3,10,70.0,Quinn,2429,8.8,7.1,6.0,10,60.0,Jax,485,4.2,5.9,4.3,9,33.3,Lee Sin,540,9.3,6.1,4.3,8,62.5,profesional
FNC Hylissang,EUW,Challenger,1055,Soloqueue,358,0.0037,214,179,393,54.5,2,2.2,5.7,12.7,Support,353,55.5,Mid,20.0,40.0,Top,18.0,50.0,Annie,81,2.4,6.2,14.7,62,59.7,Rakan,42,1.6,4.7,15.5,54,59.3,Rell,62,1.6,5.5,15.0,35,71.4,Heimerdinger,37,2.8,6.1,10.5,31,54.8,Ashe,245,2.8,7.1,12.6,28,46.4,Thresh,4112,1.4,4.8,12.0,28,50.0,Orianna,1742,2.7,5.1,7.2,21,38.1,Pyke,1040,4.8,5.7,9.9,18,55.6,profesional
elyoyaaaaaaaaaaa,EUW,GrandMaster,806,Soloqueue,2815,0.029,177,155,333,53.5,1,7.2,4.4,7.7,Jungler,260,56.2,Mid,41.0,41.5,Top,18.0,44.4,Nidalee,305,8.7,5.1,7.9,35,42.9,Elise,304,8.3,3.0,6.7,31,67.7,Vi,332,5.4,4.1,9.2,25,52.0,Lee Sin,1244,8.6,4.0,9.6,22,59.1,Wukong,956,7.8,3.7,8.6,22,54.5,Maokai,2472,4.4,3.7,10.2,19,63.2,Graves,1156,8.6,3.8,5.8,19,52.6,Gragas,860,7.8,3.7,6.9,17,64.7,profesional
Wesley Warren Jr,EUW,Challenger,1033,Soloqueue,393,0.0041,227,189,416,54.6,2,6.2,4.9,6.1,Mid,356,55.3,AD Carry,37.0,62.2,Top,13.0,15.4,Aurelion Sol,93,7.0,4.3,6.6,71,64.8,Syndra,3,6.3,5.3,5.2,57,49.1,Zoe,156,6.7,4.6,5.7,47,55.3,Akali,38,6.4,4.7,4.5,39,48.7,Sylas,265,5.4,5.5,6.5,36,58.3,Ezreal,513,5.4,5.2,6.2,27,51.9,Jayce,1644,5.6,6.1,5.3,19,47.4,Viktor,1906,6.2,5.1,5.4,18,50.0,profesional
Razørk Activoo,EUW,Challenger,1036,Soloqueue,387,0.004,159,139,298,53.4,2,6.5,4.8,8.5,Jungler,231,54.5,Mid,35.0,42.9,Top,16.0,50.0,Kindred,91,8.4,4.6,7.8,56,62.5,Vi,12,6.8,5.1,9.4,37,51.4,Sylas,333,6.6,4.9,7.7,28,60.7,Karthus,1036,9.2,6.1,9.2,25,52.0,Viego,448,7.7,6.0,8.0,20,45.0,Gragas,2320,6.7,3.3,8.4,19,68.4,Ziggs,544,4.4,4.8,4.8,16,31.3,Ahri,1821,4.8,3.9,6.8,13,46.2,profesional
칸 나,KR,GrandMaster,608,Soloqueue,4044,0.042,115,92,207,55.6,1,5.6,4.7,4.9,Top,189,57.1,Jungler,16.0,37.5,Support,2.0,50.0,Jayce,404,6.2,4.7,5.2,59,59.3,Jax,40,4.9,3.7,3.6,23,56.5,Gangplank,1614,6.6,4.3,5.7,17,70.6,Fiora,1045,4.3,4.8,3.7,13,46.2,Lee Sin,3750,6.3,4.1,5.4,12,50.0,Kennen,11086,6.4,6.1,3.8,10,50.0,Lucian,712,6.0,6.0,4.2,9,44.4,K'Sante,0,4.0,3.4,4.3,8,50.0,profesional
T1 Gumayusi,KR,Challenger,1083,Soloqueue,308,0.0032,167,136,303,55.1,2,6.4,5.1,6.6,AD Carry,266,56.0,Top,15.0,60.0,Jungler,14.0,28.6,Varus,28,6.2,5.3,7.1,64,57.8,Ezreal,55,6.7,5.4,7.0,36,61.1,Draven,361,7.7,4.6,5.8,33,54.5,Caitlyn,363,6.7,5.1,5.7,27,51.9,Lucian,1868,7.9,4.7,5.7,15,66.7,Sivir,605,5.9,6.0,9.2,14,50.0,Cho'Gath,2969,6.1,4.2,8.5,11,72.7,Aphelios,245,5.9,6.0,6.6,11,54.5,profesional
GOOD GAME GG EZ,EUW,Challenger,1132,Soloqueue,235,0.0024,151,115,266,56.8,2,6.4,5.3,7.0,Mid,229,57.2,Top,14.0,42.9,AD Carry,14.0,64.3,Azir,46,4.4,4.1,5.1,27,63.0,Jayce,111,8.5,6.2,5.9,20,55.0,Sylas,1526,7.5,4.6,6.8,17,58.8,Viktor,2428,6.8,4.8,6.0,16,43.8,Gragas,3776,6.6,5.6,9.2,14,71.4,Lee Sin,742,7.5,6.5,6.7,12,50.0,Akali,3398,7.5,4.6,5.1,11,54.5,Aurelion Sol,5959,8.3,6.6,9.7,11,54.5,profesional
HAHAHAHHAHA,EUW,Challenger,1293,Soloqueue,86,0.0009,166,134,298,55.7,2,7.3,6.0,6.1,AD Carry,269,55.0,Mid,16.0,62.5,Top,12.0,58.3,Caitlyn,17,6.5,5.9,6.2,45,55.6,Draven,232,6.6,6.1,5.1,35,48.6,Zeri,846,7.8,5.7,5.6,33,60.6,Ezreal,463,8.1,6.4,5.9,25,52.0,Samira,2951,11.4,7.5,5.7,23,60.9,Jhin,972,8.7,5.0,8.6,20,60.0,Lucian,3187,5.8,8.3,5.4,12,33.3,Aphelios,5080,10.2,5.6,5.6,11,81.8,profesional
잘가요 굿바이,KR,GrandMaster,637,Soloqueue,3740,0.039,80,61,141,56.7,1,7.7,4.8,7.3,Jungler,123,54.5,Top,16.0,81.3,Mid,2.0,0.0,Lee Sin,364,7.9,4.6,7.6,18,55.6,Kindred,5214,8.6,5.4,5.9,17,52.9,Gragas,3293,8.9,2.9,10.1,16,81.3,Nidalee,249,8.3,4.3,6.1,14,50.0,Sylas,4541,9.2,4.7,7.0,13,76.9,Wukong,3792,7.8,5.4,6.7,11,45.5,Vi,2212,4.7,4.8,8.5,10,60.0,Viego,0,5.6,5.3,5.3,8,25.0,profesional
Kobbe,EUW,Challenger,1013,Soloqueue,452,0.0047,126,97,221,56.6,2,7.0,4.4,7.4,AD Carry,191,56.5,Mid,29.0,55.2,Top,1.0,100.0,Varus,106,8.2,3.9,8.1,31,64.5,Caitlyn,687,6.6,4.4,7.0,25,68.0,Zeri,1352,7.2,3.6,6.0,24,54.2,Lucian,1119,7.5,5.0,7.7,22,68.2,Sivir,1058,7.7,5.0,8.5,17,52.9,Jhin,1252,6.3,3.3,10.4,12,50.0,Ashe,14970,6.7,5.0,9.9,12,41.7,Ezreal,643,8.6,2.9,6.9,10,90.0,profesional
TL Honda CoreJJ,NA,Challenger,1059,Soloqueue,350,0.0036,133,112,245,54.3,2,3.0,5.7,11.8,Support,212,58.5,AD Carry,15.0,26.7,Mid,11.0,27.3,Ashe,54,3.3,6.3,14.0,35,57.1,Heimerdinger,144,3.5,5.7,9.0,20,45.0,Karma,731,2.9,4.8,14.2,19,52.6,Thresh,1063,1.6,4.6,12.4,17,52.9,Rakan,1392,2.3,4.4,16.2,14,64.3,Lux,613,3.9,3.8,13.1,13,76.9,Nautilus,652,2.3,6.7,10.2,13,46.2,Annie,1559,2.6,7.2,9.3,13,30.8,profesional
Vulcan 01,NA,Challenger,921,Soloqueue,731,0.0077,101,79,180,56.1,2,2.8,4.9,12.4,Support,158,55.7,Top,8.0,62.5,AD Carry,8.0,62.5,Ashe,122,3.2,5.8,13.4,25,52.0,Thresh,1847,1.2,4.7,13.0,19,52.6,Heimerdinger,1169,2.7,4.4,7.4,18,33.3,Nautilus,1689,1.0,4.7,11.9,17,52.9,Lux,894,5.5,5.0,11.9,10,60.0,Rakan,7149,1.9,3.6,19.1,9,66.7,Nami,0,2.4,3.1,18.8,8,50.0,Karma,0,2.4,4.0,16.4,7,57.1,profesional
역천괴,KR,GrandMaster,399,Soloqueue,6573,0.069,106,99,207,51.7,1,3.9,6.2,10.1,Support,145,52.4,Jungler,26.0,46.2,AD Carry,22.0,54.5,Ashe,926,2.4,5.9,15.1,31,54.8,Caitlyn,831,4.6,6.8,9.2,19,57.9,Karma,3196,2.5,2.9,12.5,12,75.0,Varus,906,5.8,8.3,10.8,12,50.0,Lee Sin,7437,7.7,4.8,7.3,11,63.6,Heimerdinger,5692,3.3,5.2,11.0,10,80.0,Pyke,602,4.8,6.1,9.9,9,55.6,Ezreal,0,6.0,5.8,4.3,6,50.0,profesional
BiIIy Butcher1,EUW,Challenger,1135,Soloqueue,226,0.0023,171,138,309,55.3,2,5.5,4.8,5.5,Top,284,55.6,Jungler,13.0,53.8,Mid,9.0,44.4,Kled,53,6.3,4.0,6.3,30,66.7,Olaf,140,7.7,5.5,4.6,22,77.3,Jax,315,4.8,4.5,3.3,22,59.1,K'Sante,3482,5.2,4.3,6.0,22,59.1,Akshan,517,6.4,5.9,4.5,19,42.1,Jayce,2010,7.1,6.2,5.9,17,58.8,Karma,1801,4.0,3.3,12.5,15,66.7,Cassiopeia,954,4.7,5.2,4.6,13,69.2,profesional
blaberfish2,NA,Challenger,1462,Soloqueue,25,0.00026,120,73,193,62.2,2,7.3,5.5,8.0,Jungler,146,64.4,Mid,33.0,45.5,AD Carry,7.0,71.4,Lee Sin,8,7.9,5.0,9.4,27,55.6,Sylas,291,9.8,6.1,8.7,18,77.8,Graves,307,7.6,5.8,8.3,16,62.5,Kindred,482,6.9,5.8,6.5,13,69.2,Akali,429,5.8,6.6,5.0,12,41.7,Vi,2212,6.5,4.9,7.4,11,54.5,Gragas,1329,8.6,2.8,9.6,10,80.0,Elise,158,8.9,5.9,10.7,7,71.4,profesional
Jænsen,NA,GrandMaster,952,Soloqueue,2636,0.027,88,55,142,62.0,1,5.9,4.2,8.4,Mid,108,67.6,Jungler,17.0,47.1,AD Carry,15.0,46.7,Orianna,112,6.0,3.6,11.3,24,75.0,LeBlanc,17,6.8,2.2,6.5,13,76.9,Sejuani,64,3.8,4.0,11.9,11,63.6,Yone,350,6.0,5.2,7.0,9,66.7,Viktor,0,7.1,4.4,7.1,7,85.7,Sylas,0,8.4,3.6,8.4,7,57.1,Cassiopeia,0,7.3,3.8,7.8,6,66.7,Lee Sin,0,7.0,5.5,9.8,6,33.3,profesional
I Love Uber Eats,EUW,Challenger,1258,Soloqueue,108,0.0011,215,181,396,54.3,2,5.0,4.7,9.3,Jungler,353,54.1,Top,22.0,63.6,Mid,16.0,62.5,Vi,28,5.0,4.9,9.2,66,51.5,Maokai,81,4.2,3.9,10.8,50,64.0,Wukong,23,7.2,5.3,7.7,45,48.9,Poppy,290,5.1,4.9,10.0,32,56.3,Ornn,96,2.5,4.1,9.1,24,66.7,Elise,283,8.0,4.5,7.5,23,56.5,Gragas,1466,4.2,3.3,8.6,18,66.7,Jarvan IV,776,5.4,6.4,13.5,18,44.4,profesional
school phobia,EUW,Challenger,1416,Soloqueue,43,0.00045,179,131,310,57.7,2,2.5,4.9,13.7,Support,285,58.2,AD Carry,24.0,54.2,Mid,1.0,0.0,Ashe,6,2.8,5.0,14.3,53,60.4,Karma,16,2.5,4.0,13.9,25,68.0,Nautilus,539,1.1,6.6,13.4,24,45.8,Seraphine,1645,4.0,3.5,10.3,22,59.1,Lulu,734,1.5,4.9,14.6,20,55.0,Heimerdinger,1840,3.9,5.2,10.9,18,55.6,Lux,936,3.1,5.3,13.5,16,62.5,Rakan,5072,1.9,3.9,16.8,15,80.0,profesional
mersa777,EUW,Challenger,902,Soloqueue,806,0.0084,89,67,156,57.1,2,2.4,5.0,12.5,Support,125,58.4,Top,18.0,61.1,Mid,11.0,36.4,Rakan,191,2.2,4.5,20.5,13,84.6,Ashe,538,2.3,5.0,12.7,12,58.3,Nautilus,4440,1.7,6.2,16.5,11,90.9,Heimerdinger,313,4.0,8.8,11.3,10,40.0,Karma,3300,1.3,4.0,12.0,9,44.4,Gragas,0,2.0,4.8,8.4,8,37.5,Thresh,0,0.1,4.6,12.9,7,57.1,Annie,0,1.9,6.4,12.3,7,42.9,profesional
dajor25,EUW,GrandMaster,777,Soloqueue,2899,0.03,124,95,221,56.6,1,6.5,5.8,5.7,Mid,170,58.8,Top,29.0,62.1,AD Carry,17.0,23.5,Sylas,400,7.4,5.9,6.3,42,64.3,Syndra,111,5.9,5.1,6.1,25,52.0,Irelia,1923,5.8,6.5,4.0,23,56.5,Yone,1184,6.3,4.6,5.2,19,63.2,Vex,973,7.7,4.4,5.9,16,68.8,Viktor,412,7.0,4.9,5.1,16,62.5,Ryze,1128,5.9,4.9,5.3,15,66.7,Kai'Sa,570,5.0,7.6,4.7,14,21.4,profesional
C9 Fudge,NA,GrandMaster,610,Soloqueue,4017,0.042,83,71,153,54.2,1,5.7,5.0,5.3,Top,131,53.4,Mid,18.0,72.2,AD Carry,2.0,0.0,Gragas,530,4.4,3.6,7.3,20,55.0,Jayce,435,6.6,5.3,5.6,19,57.9,Jax,1186,6.7,6.3,5.1,15,46.7,Fiora,2713,4.9,4.1,3.6,14,57.1,Irelia,1292,5.8,5.5,3.8,12,41.7,K'Sante,2684,4.1,3.9,5.5,11,54.5,Sylas,617,7.9,5.2,6.7,10,80.0,Gnar,536,8.9,4.7,7.7,7,71.4,profesional
Targamas,EUW,Challenger,1135,Soloqueue,225,0.0023,202,170,371,54.2,2,3.4,4.6,12.5,Support,333,56.8,Mid,23.0,26.1,Top,7.0,28.6,Senna,52,4.3,4.5,13.0,56,58.9,Ashe,23,2.6,5.0,13.4,56,58.9,Pyke,22,6.9,4.4,10.9,47,61.7,Heimerdinger,44,3.5,5.8,11.1,26,57.7,Lux,321,3.9,4.8,11.8,23,52.2,Karma,2482,2.3,3.9,14.9,20,70.0,Rakan,740,1.5,3.8,15.8,18,66.7,Rell,1073,1.7,4.5,14.7,17,47.1,profesional
Maxlore,EUW,Challenger,914,Soloqueue,755,0.0079,289,273,559,51.5,2,7.7,5.1,7.7,Jungler,513,53.2,Top,27.0,40.7,Mid,7.0,0.0,Viego,174,7.7,5.1,7.5,147,46.3,Sylas,88,8.8,4.8,7.9,134,56.0,Rengar,56,7.8,4.4,6.4,69,58.0,Kindred,98,8.9,6.2,8.7,58,63.8,Jayce,7,2.9,7.0,4.6,20,40.0,Maokai,2309,4.9,4.5,10.2,19,57.9,Wukong,1803,8.1,3.8,7.5,19,42.1,Jarvan IV,3415,6.3,4.5,13.3,12,58.3,profesional
Percy Magic,EUW,Challenger,1304,Soloqueue,82,0.00086,245,200,447,54.8,2,6.2,3.8,6.2,Mid,343,58.3,AD Carry,58.0,44.8,Jungler,26.0,42.3,Syndra,15,6.3,3.4,6.0,50,68.0,Sylas,3,6.6,3.1,5.6,42,45.2,Jayce,667,5.8,4.4,5.4,41,58.5,Ezreal,207,6.1,4.4,5.5,30,43.3,Ryze,2239,6.3,3.6,6.8,29,51.7,Viktor,921,5.1,3.6,5.3,27,66.7,Lee Sin,251,6.7,3.8,6.6,24,37.5,Kai'Sa,2494,7.2,4.4,5.9,22,54.5,profesional
M1dLaoBan,EUW,Challenger,1056,Soloqueue,353,0.0037,233,199,432,53.9,2,6.1,5.5,7.0,Mid,353,53.3,AD Carry,70.0,55.7,Top,5.0,80.0,Irelia,78,7.0,6.6,5.0,43,41.9,Tristana,615,6.6,5.6,4.8,35,60.0,Aphelios,232,4.3,7.2,8.4,28,53.6,Jayce,257,7.5,6.8,7.2,24,54.2,Ryze,1176,7.2,3.8,8.8,21,76.2,Gragas,1007,5.6,5.2,8.9,21,57.1,Caitlyn,5104,6.8,5.5,6.9,18,44.4,Aurelion Sol,0,5.3,6.2,6.7,18,44.4,profesional
Disabled Chattt,EUW,Master,428,Soloqueue,10318,0.1,153,155,308,49.7,0,5.2,4.1,6.1,Mid,262,50.4,AD Carry,40.0,45.0,Top,4.0,50.0,Syndra,1825,6.4,3.1,5.4,27,66.7,Ryze,414,5.2,3.2,7.2,26,69.2,LeBlanc,137,6.2,2.6,6.0,21,47.6,Akali,456,5.0,3.8,3.4,21,42.9,Zed,3215,7.3,4.3,6.6,17,47.1,Yone,3763,3.8,4.1,5.1,16,56.3,Ezreal,2979,6.6,5.0,7.2,16,43.8,Irelia,6624,5.2,5.9,4.4,13,30.8,profesional
KC Leona,EUW,GrandMaster,769,Soloqueue,2925,0.03,178,155,333,53.5,1,2.8,5.5,12.2,Support,301,54.5,AD Carry,25.0,44.0,Mid,5.0,40.0,Heimerdinger,411,3.5,5.8,10.5,30,60.0,Nautilus,178,1.6,5.9,12.1,30,43.3,Ashe,1499,3.4,7.6,14.4,29,48.3,Lux,2211,3.9,5.7,13.2,28,67.9,Rakan,331,1.6,5.2,14.4,28,46.4,Leona,1450,1.4,5.2,14.4,20,75.0,Karma,64,2.2,4.0,11.0,20,45.0,Ezreal,3063,6.7,6.3,6.4,18,38.9,profesional
FΙGHT,EUW,Challenger,1230,Soloqueue,126,0.0013,178,136,314,56.7,2,4.9,4.8,6.2,Top,278,57.6,AD Carry,15.0,53.3,Mid,12.0,58.3,Lee Sin,29,6.3,4.7,6.7,34,55.9,Gangplank,385,5.0,5.8,7.4,33,57.6,Jayce,562,4.5,4.5,4.6,32,50.0,Fiora,588,3.6,3.8,3.8,28,57.1,Olaf,1011,7.5,4.7,5.0,25,64.0,Sion,523,3.6,3.3,8.4,23,69.6,Renekton,272,3.8,4.3,5.2,21,57.1,Kled,436,6.8,4.7,7.4,17,70.6,profesional
Beanovich,EUW,Challenger,1103,Soloqueue,281,0.0029,272,237,508,53.5,2,6.6,4.5,6.4,AD Carry,464,53.0,Mid,43.0,60.5,Top,1.0,0.0,Xayah,71,7.6,4.4,6.1,151,62.3,Caitlyn,28,6.9,4.4,6.7,71,50.7,Zeri,195,6.7,4.6,6.2,61,37.7,Ezreal,342,6.0,5.3,6.0,44,52.3,Malzahar,301,3.7,3.5,6.5,39,61.5,Lucian,26,7.7,4.7,5.9,30,63.3,Jhin,1930,5.7,3.1,6.5,25,60.0,Varus,1807,5.3,5.0,7.5,24,50.0,profesional
Zaunite Mylo,EUW,Master,416,Soloqueue,10528,0.11,98,79,240,54.6,0,2.7,5.4,15.4,Support,235,54.9,Mid,3.0,33.3,Top,1.0,0.0,Rakan,1928,2.2,4.8,18.5,37,59.5,Karma,17273,2.9,4.8,14.9,27,48.1,Ashe,459,2.9,6.2,15.5,26,61.5,Annie,2055,2.7,5.5,17.1,21,76.2,Nautilus,1013,2.7,5.2,15.3,19,57.9,Nami,413,2.2,5.3,19.1,14,78.6,Thresh,1620,2.2,5.7,16.2,12,8.3,Lux,1155,5.5,6.2,13.4,11,45.5,profesional
boiat nastana,EUW,Challenger,1236,Soloqueue,122,0.0012,181,139,320,56.6,2,5.5,4.9,7.3,Mid,263,57.8,AD Carry,34.0,58.8,Top,10.0,20.0,Ryze,19,5.5,4.0,8.0,65,61.5,Syndra,4,6.4,4.9,7.1,31,64.5,Tristana,280,7.3,4.6,5.5,27,66.7,Yone,371,6.0,5.3,4.7,21,61.9,Sylas,910,6.3,6.3,9.6,21,47.6,Ezreal,3542,6.2,6.5,8.1,11,54.5,Tryndamere,12315,5.5,5.5,5.9,11,45.5,Annie,1672,4.2,5.1,6.0,10,60.0,profesional
Boukada,EUW,Challenger,1006,Soloqueue,477,0.005,104,73,177,58.8,2,7.2,5.4,9.9,Jungler,163,58.9,Top,7.0,57.1,Mid,4.0,75.0,Nidalee,112,9.8,4.2,10.7,20,85.0,Elise,78,9.2,4.3,10.5,20,80.0,Maokai,294,4.8,5.3,11.1,15,53.3,Lee Sin,3310,8.4,5.5,11.7,14,50.0,Vi,2654,6.4,5.9,8.9,14,42.9,Viego,4692,8.7,7.0,6.8,12,50.0,Jarvan IV,3692,4.8,6.7,16.7,11,54.5,Sejuani,0,4.3,2.9,10.1,8,75.0,profesional
bluerzor,EUW,GrandMaster,786,Soloqueue,2880,0.03,149,129,278,53.6,1,6.2,4.5,8.4,Jungler,255,55.7,Mid,12.0,25.0,Top,6.0,33.3,Elise,388,7.3,4.6,8.9,47,57.4,Graves,84,7.1,4.8,8.2,37,51.4,Vi,320,6.1,4.1,9.4,28,53.6,Maokai,1321,4.0,4.3,10.6,26,53.8,Wukong,1614,7.3,4.2,8.1,24,54.2,Bel'Veth,1877,7.5,3.7,7.1,21,61.9,Lee Sin,487,6.6,4.2,8.3,20,60.0,Gragas,1237,5.1,3.5,6.5,15,53.3,profesional
